Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
3390,7000,8330,12.5,377.7,6100,4950,1,R,570,2,12,12,2,0,8,Corporation,20,3,0,2,73,Business Services,12794,6393,6401,98100,46486,32.1,5,114,410,7937,4620,84,4704,NY,OTHER,S1
2629,5400,6696,12.5,799.2,3629.6,3307.33333,6,O,461,4,36,10,13,9,17,Corporation,14,1,5,0,70,Hotels Rooming and Other Lodging Places,2132,1022,1110,55100,28880,41.9,5,58,523,11637,891,70,961,PA,B,S1
3978,19200,22560,12.5,1814.4,14819.48,14820,3,O,588,6,29,22,14,2,5,Sole Proprietorship,3,0,0,0,72,Personal Services,33363,15669,17694,92200,38575,37.2,5,985,17062,476722,12780,1272,14052,NC,C,S2
124709,192000,228480,12.5,26496,151379.2,151379.2,5,O,695,2,47,47,30,0,0,Corporation,2,1,1,0,72,Personal Services,11794,5802,5992,325400,66947,60.5,5,579,7245,235169,10346,302,10648,FL,B,S4
6281,10000,12400,12.5,1628,7882,7882,1,R,491,4,16,4,4,10,2,Corporation,6,3,1,1,72,Personal Services,29341,14200,15141,168500,59715,40.2,5,747,12638,432538,11291,563,11854,CT,B,S2
5536,13742,17040,10,2643.94,11110.2,15690.4,5,O,476,3,14,4,10,3,7,Sole Proprietorship,4,2,4,0,54,Food Stores,27751,13764,13987,87900,36057,33.5,5,396,5168,154320,9545,575,10120,DE,B,S2
6419,17000,20230,12.5,469.2,15914,16000.5,4,R,414,12,26,6,8,15,5,Sole Proprietorship,2,3,10,0,75,Auto Repair Services and Parking,23900,11998,11902,129800,48157,38.8,5,1332,13405,362967,11675,1197,12872,FL,A,S2
50656,80800,96152,10,11150.4,79573.04,79572.6667,3,O,524,13,26,19,11,2,5,Corporation,5,0,0,0,58,Eating and Drinking Places,17489,8430,9059,125000,45921,38.8,5,375,4402,129638,7593,565,8158,MA,B,S4
4031,10800,12690,12.5,291.6,14404.1,10521,2,R,511,3,31,15,15,1,15,Sole Proprietorship,3,0,0,0,72,Personal Services,24439,11864,12575,107900,34789,35,5,1291,25018,778684,10061,1664,11725,VA,A,S2
48127,106000,131500,12.5,19711.34,81740,117931,4,R,511,5,19,6,9,8,5,Corporation,1,1,0,0,54,Food Stores,40466,20222,20244,92300,28610,36.9,5,1529,16745,464931,17509,1875,19384,FL,H,S4
15320,25600,31744,12.5,3788.8,16831.28,16831.3333,6,O,597,81,13,9,9,0,4,Corporation,30,5,8,5,59,Miscellaneous Retail Stores,18482,8706,9776,107900,33498,39.6,5,593,8150,209248,7316,685,8001,MA,B,S3
10039,22800,27930,12.5,2588.6,18942.98,18943,4,O,612,32,53,48,21,0,5,Corporation,6,2,0,0,55,Automotive Dealers and Service Stations,18911,9323,9588,108800,42041,37.2,5,722,8837,225812,7490,625,8115,MI,OTHER,S3
10500,21000,24675,12.5,1984.5,16174.52,17864.5,4,O,583,3,29,22,14,2,5,Sole Proprietorship,3,2,1,0,72,Personal Services,27268,12804,14464,111800,41888,35.9,5,1796,44287,1575418,12905,1749,14654,NC,C,S2
11566,21600,25488,10,1762.56,26201.86,32136.8571,7,O,642,3,19,17,15,0,2,Limited Liability Company,4,0,0,0,51,Wholesale Trade-Nondurable Goods,35389,17540,17849,83600,30926,29.9,5,1018,12413,339231,9537,994,10531,FL,OTHER,S3
36039,56200,66035,12.5,5310.9,67729.94,67729.6667,6,O,694,4,37,35,19,0,2,Limited Liability Company,3,0,0,0,59,Miscellaneous Retail Stores,50783,24958,25825,109300,40199,34.2,5,1432,18044,521723,16844,1020,17864,FL,OTHER,S4
9742,30600,36414,17.5,3378.24,17300,30521,2,R,619,4,12,11,5,0,1,Sole Proprietorship,1,0,1,0,52,Building Materials and Hardware,5835,2844,2991,110500,47649,38.5,6,211,1543,38071,2393,175,2568,IA,B,S3
3487,9600,11280,12.5,777.6,8621.82,8621.69231,13,O,518,13,23,15,18,2,6,Limited Liability Company,3,1,0,0,75,Auto Repair Services and Parking,4663,2274,2389,127700,42220,43.6,5,114,558,13822,2063,89,2152,DE,OTHER,S2
7672,21200,25228,12.5,2340.48,16727.18,27194,4,R,601,4,21,16,12,0,5,Corporation,5,4,1,0,58,Eating and Drinking Places,35665,17249,18416,107200,51888,38.1,5,378,4093,96910,14249,365,14614,NY,B,S3
14447,34739.36,39081.78,12,4342.42,27792.02,27791.5,4,O,519,1,31,19,19,1,11,Limited Liability Company,2,0,1,0,75,Auto Repair Services and Parking,37856,17247,20609,92200,35101,35.3,5,837,17636,585495,17925,898,18823,VA,OTHER,S3
5839,13800,17112,12.5,2042.4,9037.06,9037.33333,6,O,497,21,22,7,8,8,7,Partnership,23,1,3,0,59,Miscellaneous Retail Stores,10018,4712,5306,73700,29371,42.6,5,282,4682,105856,3225,216,3441,VA,B,S2
2244,3800,4650,12.5,605,6393.54,6656,2,R,539,2,52,46,32,1,5,Limited Liability Company,2,0,3,0,59,Miscellaneous Retail Stores,20384,9999,10385,113900,49000,35.5,6,546,9359,252766,8243,548,8791,WI,H,S1
6157,10800,12852,12.5,1192.32,9172,8164,3,R,570,4,27,24,19,2,1,Corporation,3,1,4,0,58,Eating and Drinking Places,14873,8086,6787,438100,30702,34,6,739,18584,730318,10295,754,11049,MN,B,S2
9238,24800,29140,12.5,2343.6,23935.86,27208,9,O,551,8,17,6,10,3,8,Corporation,11,7,0,5,59,Miscellaneous Retail Stores,40880,19378,21502,148600,45960,38,5,1220,19479,794134,15208,1227,16435,NJ,OTHER,S3
2750,5200,6448,12.5,769.6,3769.56,5553.27273,11,O,502,3,15,5,10,3,7,Corporation,3,0,0,0,59,Miscellaneous Retail Stores,20796,9845,10951,109900,43542,41.3,5,881,13625,356455,9188,900,10088,OH,B,S1
23549,98000,120050,12.5,8526,63374.24,63374.3333,6,O,491,10,14,4,6,6,4,Corporation,7,41,0,38,58,Eating and Drinking Places,20956,10308,10648,283700,45344,35.4,5,389,3103,87396,8436,375,8811,NY,A,S4
11266,24000,29760,12.5,2131.2,36120.28,36120,5,R,487,5,14,7,6,2,5,Sole Proprietorship,2,0,1,0,70,Hotels Rooming and Other Lodging Places,15134,6960,8174,69600,28403,34.5,6,320,4911,116864,5389,387,5776,TN,B,S3
51477,66200,78778,12.5,7308.48,52276.58,52280.6177,6,R,676,4,46,25,25,0,0,Corporation,10,0,1,0,56,Apparel and Accessory Stores,37119,18521,18598,186600,72436,32.5,5,847,18646,877030,14848,548,15396,NC,B,S4
3270,7000,8330,12.5,966,5558.48,5558.33333,6,O,584,4,36,20,13,6,10,Corporation,3,0,1,0,58,Eating and Drinking Places,26863,12562,14301,106400,41970,30.7,6,377,15430,661104,7035,428,7463,IL,B,S1
4801,12400,14756,12.5,1796.76,9720.4,9720.4,10,O,495,1,29,9,6,8,12,Limited Liability Company,1,0,0,0,53,General Merchandise Stores,34997,17480,17517,178300,70855,36.7,5,889,9756,276609,11355,423,11778,MD,H,S2
2255,3800,4522,12.5,524.4,3072.26,3072.66667,3,O,531,4,21,15,5,3,3,Corporation,4,0,0,0,54,Food Stores,36979,17679,19300,162400,43850,35.5,5,867,10628,340504,11385,1048,12433,NJ,B,S1
9205,22400,27776,12.5,3315.2,14811.24,6681.92542,6,O,514,4,23,12,13,3,8,Corporation,6,0,5,0,17,Construction-Special Trade Contractors,4976,2403,2573,63700,33293,38.5,5,56,434,9081,1242,71,1313,FL,B,S3
6890,14400,17136,12.5,1987.2,12305.52,12305.52,2,O,507,4,29,20,19,3,6,Corporation,5,0,1,0,58,Eating and Drinking Places,46561,24421,22140,290000,42106,32.5,5,1231,12967,0,25777,1429,27206,DC,B,S2
65748,125000,146875,12.5,10125,108612,178010,1,R,577,6,11,8,3,1,2,Partnership,5,4,7,0,50,Wholesale Trade-Durable Goods,20511,9695,10816,78600,29980,39.4,5,558,6664,172652,7630,641,8271,FL,H,S4
3751,16000,19040,12.5,662.4,11784.72,11870,1,R,562,4,6,5,2,3,6,Limited Liability Company,2,1,1,0,58,Eating and Drinking Places,28628,14180,14448,99000,34909,32.1,6,581,10929,361074,10993,743,11736,WI,B,S2
49200,92000,109000,6.5,11944.8,157424.14,195508.054,5,O,667,6,17,14,15,1,2,Corporation,4,0,2,0,58,Eating and Drinking Places,17072,8075,8997,147700,53848,42.3,5,1147,18841,724652,8142,1174,9316,NC,B,S4
5901,14200,18105,10,2971.34,11638.16,12622.2857,7,O,477,5,7,2,0,3,2,Sole Proprietorship,1,1,0,0,59,Miscellaneous Retail Stores,11594,5819,5775,162700,44542,43.1,5,260,1406,29382,6244,208,6452,NC,B,S2
122665,192000,228480,12.5,21196.8,163404.66,169833.5,4,R,654,19,33,29,17,1,3,Corporation,12,12,4,4,56,Apparel and Accessory Stores,11996,7258,4738,431600,50706,39.5,5,1513,22032,1074826,7619,1246,8865,FL,B,S4
10131,30000,37200,7.5,5772,37826,37826,3,R,656,9,19,15,10,1,3,Sole Proprietorship,9,0,2,0,58,Eating and Drinking Places,40401,19295,21106,88600,38449,29.1,6,1070,22949,681830,16807,1392,18199,TN,B,S3
19890,36600,43554,12.5,4040.64,50009.12,65052,3,R,587,3,25,14,20,0,11,Sole Proprietorship,0,0,0,0,58,Eating and Drinking Places,43167,20830,22337,140400,47162,36.3,5,1096,27647,1310933,15777,1111,16888,CT,B,S3
17576,30600,35955,12.5,1652.4,39561.84,39563.5858,4,R,690,13,42,17,17,0,1,Corporation,14,1,8,0,58,Eating and Drinking Places,18002,8511,9491,113500,35814,61.4,5,491,4292,97907,9551,533,10084,FL,OTHER,S3
3092,8600,10965,12.5,1799.54,5613.96,5614,3,O,459,13,18,3,10,4,11,Sole Proprietorship,8,1,0,1,59,Miscellaneous Retail Stores,2918,1411,1507,108000,29891,41,5,165,1741,39744,1167,159,1326,NJ,B,S2
2650,8000,9400,12.5,756,7214.36,7214,5,O,471,4,37,26,21,3,8,Corporation,3,1,2,0,73,Business Services,24451,12407,12044,140600,65353,32.4,5,523,4580,154970,6975,428,7403,VA,OTHER,S1
3171,11400,14136,12.5,1265.4,7540.16,9729.66667,6,O,587,7,8,4,5,0,4,Sole Proprietorship,3,0,0,0,59,Miscellaneous Retail Stores,7501,3582,3919,120200,47091,31.8,5,596,9951,270185,3254,466,3720,NC,D,S2
13303,40400,47470,12.5,4772.26,36318.6,39244,4,O,679,3,14,13,12,0,1,Sole Proprietorship,10,2,1,0,59,Miscellaneous Retail Stores,26401,13302,13099,65200,33962,40.7,5,715,11382,319910,10512,822,11334,PA,D,S3
3846,8200,10168,12.5,1213.6,5386.9,5387.33333,3,O,528,11,24,16,14,4,4,Corporation,3,0,0,0,53,General Merchandise Stores,11310,5583,5727,59600,35311,31.3,5,302,3216,94202,3518,380,3898,MI,B,S2
8933,20000,23500,12.5,1350,21336,21133,4,R,654,5,20,15,13,0,5,Corporation,6,1,1,0,75,Auto Repair Services and Parking,28069,13649,14420,141400,59015,38.2,5,1702,46908,1982126,10443,1652,12095,MI,E,S2
