Date,ClosePrice,Volume,DayOfWeek
09/01/2017,355.399994,3049500,6
09/05/2017,349.589996,3835100,3
09/06/2017,344.529999,4091400,4
09/07/2017,350.609985,4239200,5
09/08/2017,343.399994,3263500,6
09/11/2017,363.690002,7667100,2
09/12/2017,362.75,5972900,3
09/13/2017,366.230011,4185200,4
09/14/2017,377.640015,7202500,5
09/15/2017,379.809998,5420500,6
09/18/2017,385,7188000,2
09/19/2017,375.100006,6451900,3
09/20/2017,373.910004,4919100,4
09/21/2017,366.480011,4618200,5
09/22/2017,351.089996,8159400,6
09/25/2017,344.98999,7605900,2
09/26/2017,345.25,7156300,3
09/27/2017,340.970001,6060300,4
09/28/2017,339.600006,5319600,5
09/29/2017,341.100006,5107100,6
10/02/2017,341.529999,5286800,2
10/03/2017,348.140015,10153600,3
10/04/2017,355.01001,8163500,4
10/05/2017,355.329987,4171700,5
10/06/2017,356.880005,4297500,6
10/09/2017,342.940002,7493700,2
10/10/2017,355.589996,6978500,3
10/11/2017,354.600006,4500800,4
10/12/2017,355.679993,4087000,5
10/13/2017,355.570007,3540500,6
10/16/2017,350.600006,5375500,2
10/17/2017,355.75,3293300,3
10/18/2017,359.649994,4939100,4
10/19/2017,351.809998,5061800,5
10/20/2017,345.100006,4930400,6
10/23/2017,337.019989,5747300,2
10/24/2017,337.339996,4491700,3
10/25/2017,325.839996,8594100,4
10/26/2017,326.170013,5023500,5
10/27/2017,320.869995,6979700,6
10/30/2017,320.079987,4254400,2
10/31/2017,331.529999,5672300,3
11/01/2017,321.079987,8457300,4
11/02/2017,299.26001,19791400,5
11/03/2017,306.089996,8894000,6
11/06/2017,302.779999,6486000,2
11/07/2017,306.049988,5294300,3
11/08/2017,304.390015,4725300,4
11/09/2017,302.98999,5447100,5
11/10/2017,302.98999,4625400,6
11/13/2017,315.399994,7584900,2
11/14/2017,308.700012,5676100,3
11/15/2017,311.299988,5978700,4
11/16/2017,312.5,5822100,5
11/17/2017,315.049988,13735100,6
11/20/2017,308.73999,8247700,2
11/21/2017,317.809998,7261300,3
11/22/2017,312.600006,4917600,4
11/24/2017,315.549988,3244100,6
11/27/2017,316.809998,4555900,2
11/28/2017,317.549988,4949500,3
11/29/2017,307.540009,8767400,4
11/30/2017,308.850006,4351600,5
12/01/2017,306.529999,4292900,6
12/04/2017,305.200012,5835100,2
12/05/2017,303.700012,4646500,3
12/06/2017,313.26001,7195300,4
12/07/2017,311.23999,4780600,5
12/08/2017,315.130005,3468500,6
12/11/2017,328.910004,7938000,2
12/12/2017,341.029999,8733200,3
12/13/2017,339.029999,6221500,4
12/14/2017,337.890015,5799900,5
12/15/2017,343.450012,6933200,6
12/18/2017,338.869995,5476200,2
12/19/2017,331.100006,6825000,3
12/20/2017,328.980011,5953800,4
12/21/2017,331.660004,4385200,5
12/22/2017,325.200012,4215800,6
12/26/2017,317.290009,4378400,3
12/27/2017,311.640015,4712100,4
12/28/2017,315.359985,4316300,5
12/29/2017,311.350006,3777200,6
01/02/2018,320.529999,4352200,3
01/03/2018,317.25,4521500,4
01/04/2018,314.619995,9946300,5
01/05/2018,316.579987,4591200,6
01/08/2018,336.410004,9859400,2
01/09/2018,333.690002,7146600,3
01/10/2018,334.799988,4309900,4
01/11/2018,337.950012,6645500,5
01/12/2018,336.220001,4825100,6
01/16/2018,340.059998,6474300,3
01/17/2018,347.160004,7083700,4
01/18/2018,344.570007,5685800,5
01/19/2018,350.019989,4888300,6
01/22/2018,351.559998,6210400,2
01/23/2018,352.790009,5465400,3
01/24/2018,345.890015,5287500,4
01/25/2018,337.640015,6740300,5
01/26/2018,342.850006,4539400,6
01/29/2018,349.529999,4747100,2
01/30/2018,345.820007,4717700,3
01/31/2018,354.309998,6214100,4
