Date,ClosePrice,Volume,DayOfWeek,TSLA.Return,SandP.Price,SP.Return
9/5/2017,349.589996,3835100,3,-0.016347772,2457.850098,-0.007550807
9/6/2017,344.529999,4091400,4,-0.01447409,2465.540039,0.003128727
9/7/2017,350.609985,4239200,5,0.017647189,2465.100098,-0.000178436
9/8/2017,343.399994,3263500,6,-0.020564135,2461.429932,-0.001488851
9/11/2017,363.690002,7667100,2,0.059085639,2488.110107,0.010839299
9/12/2017,362.75,5972900,3,-0.002584624,2496.47998,0.003363948
9/13/2017,366.230011,4185200,4,0.009593414,2498.370117,0.000757121
9/14/2017,377.640015,7202500,5,0.031155295,2495.620117,-0.001100718
9/15/2017,379.809998,5420500,6,0.005746168,2500.22998,0.001847181
9/18/2017,385,7188000,2,0.013664732,2503.870117,0.001455921
9/19/2017,375.100006,6451900,3,-0.02571427,2506.649902,0.001110195
9/20/2017,373.910004,4919100,4,-0.003172493,2508.23999,0.000634348
9/21/2017,366.480011,4618200,5,-0.019871073,2500.600098,-0.003045917
9/22/2017,351.089996,8159400,6,-0.041994146,2502.219971,0.000647794
9/25/2017,344.98999,7605900,2,-0.01737448,2496.659912,-0.00222205
9/26/2017,345.25,7156300,3,0.000753674,2496.840088,7.22E-05
9/27/2017,340.970001,6060300,4,-0.012396811,2507.040039,0.004085144
9/28/2017,339.600006,5319600,5,-0.004017934,2510.060059,0.001204616
9/29/2017,341.100006,5107100,6,0.004416961,2519.360107,0.00370511
10/2/2017,341.529999,5286800,2,0.001260607,2529.120117,0.003874004
10/3/2017,348.140015,10153600,3,0.01935413,2534.580078,0.002158838
10/4/2017,355.01001,8163500,4,0.019733425,2537.73999,0.00124672
10/5/2017,355.329987,4171700,5,0.000901318,2552.070068,0.005646787
10/6/2017,356.880005,4297500,6,0.004362193,2549.330078,-0.001073634
10/9/2017,342.940002,7493700,2,-0.039060757,2544.72998,-0.001804434
10/10/2017,355.589996,6978500,3,0.036886901,2550.639893,0.002322413
10/11/2017,354.600006,4500800,4,-0.002784077,2555.23999,0.001803507
10/12/2017,355.679993,4087000,5,0.003045649,2550.929932,-0.001686753
10/13/2017,355.570007,3540500,6,-0.000309227,2553.169922,0.000878107
10/16/2017,350.600006,5375500,2,-0.01397756,2557.639893,0.001750753
10/17/2017,355.75,3293300,3,0.014689087,2559.360107,0.000672579
10/18/2017,359.649994,4939100,4,0.010962738,2561.26001,0.000742335
10/19/2017,351.809998,5061800,5,-0.02179896,2562.100098,0.000327998
10/20/2017,345.100006,4930400,6,-0.019072772,2575.209961,0.005116843
10/23/2017,337.019989,5747300,2,-0.023413552,2564.97998,-0.003972484
10/24/2017,337.339996,4491700,3,0.000949519,2569.129883,0.001617909
10/25/2017,325.839996,8594100,4,-0.034090236,2557.149902,-0.00466305
10/26/2017,326.170013,5023500,5,0.001012819,2560.399902,0.001270946
10/27/2017,320.869995,6979700,6,-0.01624925,2581.070068,0.008073022
10/30/2017,320.079987,4254400,2,-0.002462081,2572.830078,-0.00319247
10/31/2017,331.529999,5672300,3,0.035772346,2575.26001,0.000944459
11/1/2017,321.079987,8457300,4,-0.031520562,2579.360107,0.00159211
11/2/2017,299.26001,19791400,5,-0.067958072,2579.850098,0.000189966
11/3/2017,306.089996,8894000,6,0.022822916,2587.840088,0.003097075
11/6/2017,302.779999,6486000,2,-0.010813803,2591.129883,0.001271251
11/7/2017,306.049988,5294300,3,0.010799884,2590.639893,-0.000189103
11/8/2017,304.390015,4725300,4,-0.005423862,2594.379883,0.001443655
11/9/2017,302.98999,5447100,5,-0.004599445,2584.620117,-0.003761888
11/10/2017,302.98999,4625400,6,0,2582.300049,-0.000897644
11/13/2017,315.399994,7584900,2,0.040958462,2584.840088,0.000983634
11/14/2017,308.700012,5676100,3,-0.02124281,2578.870117,-0.002309609
11/15/2017,311.299988,5978700,4,0.008422339,2564.620117,-0.005525676
