Date,AMZN.Volume,AMZN.Close,SandP.Close,SandP.Return,Month
3/28/2016,3121500,579.869995,2037.05005,NA,3
3/29/2016,4392600,593.859985,2055.01001,0.0088,3
3/30/2016,3890500,598.690002,2063.94995,0.0044,3
3/31/2016,2681800,593.640015,2059.73999,-0.002,3
4/1/2016,2917400,598.5,2072.78003,0.0063,4
4/4/2016,2470800,593.190002,2066.12988,-0.0032,4
4/5/2016,2308900,586.140015,2045.17004,-0.0101,4
4/6/2016,2849900,602.080017,2066.65991,0.0105,4
4/7/2016,3189000,591.429993,2041.91003,-0.012,4
4/8/2016,2591900,594.599976,2047.59998,0.0028,4
4/11/2016,2704300,595.929993,2041.98999,-0.0027,4
4/12/2016,2641100,603.169983,2061.71997,0.0097,4
4/13/2016,4228300,614.820007,2082.41992,0.01,4
4/14/2016,3512100,620.75,2082.78003,0.0002,4
4/15/2016,2887700,625.890015,2080.72998,-0.001,4
4/18/2016,4336400,635.349976,2094.34009,0.0065,4
4/19/2016,4055900,627.900024,2100.80005,0.0031,4
4/20/2016,2609400,632.98999,2102.3999,0.0008,4
4/21/2016,2596300,631,2091.47998,-0.0052,4
4/22/2016,5083900,620.5,2091.58008,0,4
4/25/2016,2682900,626.200012,2087.79004,-0.0018,4
4/26/2016,2521400,616.880005,2091.69995,0.0019,4
4/27/2016,4068800,606.570007,2095.1499,0.0016,4
4/28/2016,7872600,602,2075.81006,-0.0092,4
4/29/2016,10310700,659.590027,2065.30005,-0.0051,4
5/2/2016,6578500,683.849976,2081.42993,0.0078,5
5/3/2016,4923400,671.320007,2063.37012,-0.0087,5
5/4/2016,4635500,670.900024,2051.12012,-0.0059,5
5/5/2016,4884100,659.090027,2050.62988,-0.0002,5
5/6/2016,4347200,673.950012,2057.13989,0.0032,5
5/9/2016,3982200,679.75,2058.68994,0.0008,5
5/10/2016,6105600,703.070007,2084.38989,0.0125,5
5/11/2016,7338200,713.22998,2064.45996,-0.0096,5
5/12/2016,5048200,717.929993,2064.11011,-0.0002,5
5/13/2016,4763400,709.919983,2046.60999,-0.0085,5
5/16/2016,5432900,710.659973,2066.65991,0.0098,5
5/17/2016,5121400,695.27002,2047.20996,-0.0094,5
5/18/2016,4283200,697.450012,2047.63001,0.0002,5
5/19/2016,3025600,698.52002,2040.04004,-0.0037,5
5/20/2016,2916200,702.799988,2052.32007,0.006,5
5/23/2016,2595100,696.75,2048.04004,-0.0021,5
5/24/2016,3033800,704.200012,2076.06006,0.0137,5
5/25/2016,3267700,708.349976,2090.54004,0.007,5
5/26/2016,2446700,714.909973,2090.1001,-0.0002,5
5/27/2016,2246400,712.23999,2099.06006,0.0043,5
5/31/2016,3618300,722.789978,2096.94995,-0.001,5
6/1/2016,3263100,719.440002,2099.33008,0.0011,6
6/2/2016,3026600,728.23999,2105.26001,0.0028,6
6/3/2016,3367300,725.539978,2099.12988,-0.0029,6
6/6/2016,2704800,726.72998,2109.40991,0.0049,6
6/7/2016,2732500,723.73999,2112.12988,0.0013,6
6/8/2016,2223400,726.640015,2119.12012,0.0033,6
6/9/2016,2170300,727.650024,2115.47998,-0.0017,6
6/10/2016,3425700,717.909973,2096.07007,-0.0092,6
