REALID,Q28
1590553444,Nothing
1590580637,Nothing
1590602209,Nothing. It was awesome.
1590610566,Couldn't sit in a lot of them
1590609253,N/a
1590611432,Weather
1590594927,No ice cream
1590608354,"More trash containers needed, more dessert selections, bigger parking discounts, did not like music in grand ballroom."
1590577542,"Far more people than I anticipated, however the crowds moved nicely."
1590597961,"I would have to say the food. There is some great food, however, for younger people (even though the attend in lower numbers) there was not very much to choose from in terms of what would be acceptable to eat or like to eat. Otherwise it was ok."
1590598175,The amount of cars that were locked
1590604056,N/A
1590601284,The protest outside
1590609790,parking situation
1590613701,NULL
1590602530,Sea salt cookies
1590599405,High heels
1590609964,Waiting for food/beverage.
1590599108,The protesters outside booing everyone.
1590600849,none
1590606945,Desert
1590575611,Nothing
1590575322,THE FOOD WAS JUST OK. STEPHEN STARR DID A BETTER JOB YEARS AGO.
1590601698,Dessert station
1590603538,Dessert was bad and bars ran our of drinks at 11
1590598670,long lines for drinks
1590602001,The labor protestors blocking the entrance to the convention center.
1590611267,Food
1590599199,Walking in high heels!
1590606325,Food
1590602449,wait
1590553469,Long lines at the bars & the attitude of a lot of the bar staff.
1590613917,I thought there should of been a better variety of food.
1590579365,Long line for drinks and desserts were not good
1590609758,Nothing comes to mind
1590601615,Not enough different types of food; we came hungry expecting great food; it was only ok; pork dried out; tried and saw only two food stations; one was antipasta station; desserts weren't even clearly marked where to find them
1590610756,crowded
1590576270,The amount of walking
1590580231,The food was similar to prior year; it would be fun to mix it up a bit.
1590614691,Nothing
1590601839,The placement of the grand ballroom.
1590604635,Not enough time to see everything.
1590577567,food served.
1590614873,More food choices.  Don't have to be so fancy with the food...
1590601656,"Cold outside, protestors"
1590552743,nothing
1590549095,Auto dealers should hand out slippers and bags.
1590607653,Needing to cross the picket lines outside
1590549889,I wish there were more food stations.
1590604791,Food and drink lines. Stations running out of plates and no rush to refill. Same with cream at coffee station. Closing one coffee station early.
1590599157,More of a food selection
1590614584,nothing it was great
1590578979,Food & drink lines
1590604122,"lack of information about parking, shuttles and hotel rates"
1590607083,Drink stations all had very long lines.  Would like more bars set up.
1590605111,Nothing
1590600468,Nothing.
1590557023,FOOD
1590595064,NA
1590559953,Food very poor.
1590577898,Nothing
1590609519,"Desserts seemed very weak, and did not have gluten-free options"
1590575785,Nothing
1590581189,Crowded bar areas
1590551125,long time to get a drink at some of the bars
1590609436,Perfect evening!  There was NOTHING to criticize:-)
1590599447,Seemed to be lacking ICE at the beverage stands and plates and forks at the desert stations
1590609022,lighting
1590600625,Protesters outside of the building not moving out of the on Broad Street
1590606754,places to sit
1590560514,Two different rooms
1590602407,nothing
1590613677,Teamster Picketing the entrance
1590607018,at times the shortage of tables
1590599355,Dessert was mediocre
1590610848,Na
1590599827,nothing
1590600393,The deserts
1590574911,"Waiting in line for food, cold (although delicious anyway) food."
1590607620,NA
1590605012,food
1590614014,food
1590607059,Not enough tables to eat. I would have liked to have a menu of food that was being offered and locations.
1590606762,Nothing really except the wait for drinks once everything switched to the Grand Ballroom was a little long.
1590602761,The union protesters at the entrance
1590551695,Nothing!
1590598597,Seating was limited
1590602811,Some of the tables could have been cleaned off to make room for people who wanted to use them but that was later in the evening.
1590614147,food varity
1590614758,I had a hard time finding out where to get my parking voucher. Everyone I asked said to continue to enter the event and I would find it or they said they didn't know. In previous years the voucher area was right at the entrance and there were people there offering everyone the voucher. Also the photo line was a little long so we skipped it. I didn't see Clutch all night.
1590601508,I thought the parking rate at the Marriott was excessive
1590604825,quality of drinks
1590600344,I guess you couldn't do anything about the snow.
1590601664,N/A
1590574945,The season. Cold.
1590599470,A little disorganized and hard to find people
1590609279,Long drink lines
1590603827,It wasn't clear exactly what the event was prior to attending. It's mainly a preview show and that isn't made clear in the marketing.
1590608990,Hard to juggle drinks and food on small plates
1590609667,The food stations. There was no food left by 10 pm and dessert was served way to late and only in one area!!!
1590614006,No tables
1590601003,"By the time we saw all the cars and had a bite to eat, the entertainment was almost over."
1590608560,Would have liked dessert to begin earlier
1590604767,Nothing
1590600583,drink sizes
1590577765,The protesters blocking the entrance.
1590608024,"The poorly organized parking, the poor quality of food and drink, and the high price of tickets for the event."
1590613966,food
1590601623,The food was not great this year. It seemed like there were more people and less stations and overall less food than last year.
1590598027,Happy with everything offered
1590571040,not having access to the Ferrari exhibit
1590604338,The food. If the Garces group does next years show I will NOT attend!
1590552552,Not a ton of food variety. Band could have played more variety
1590600211,Long lines for open bar
1590608644,Long lines at bar and dance floor too small and crowded and desserts were not good!
1590605780,Was more crowded than I expected
1590614253,Waiting in lines
1590614980,No tables
1590614261,Waiting in lines
1590602225,weather
1590609626,The food was the exact same as the prior years
1590605657,The bar areas ran out of water.
1590605400,"I've been told that in past years, attending the black tie tailgate gave individuals better access to the vehicles.  I didn't find this to be the case this year."
1590601946,"parking: a) we were unable to use the discount parking card we received at the show b) we decided to stay over night and had to pay for parking, were if we only went for the evening could have purchased the event card with valet parking"
1590578623,Lines at the bar
1590608206,The food and beverage
1590613776,N/A
1590552727,Food
1590573327,The Aramark food stations
1590609212,"signage entering and exiting event, to/from garages."
1590614709,NOTHING i DIDN'T LIKE
1590552842,Fact that all BMW's were locked.
1590555753,nothing
1590552610,nothing
1590548378,nothing
1590602936,waiting long line to take photo in the beginning
1590606572,the protestors
1590610806,Nothing stands out
1590610921,NULL
1590598522,Nothing
1590607695,"Therenis no child's ticket price,, maybe there could be $50.00 off a regular ticket."
1590607885,food and beverages were not easy to get to.
1590578763,N/A
1590604841,The price of a child's ticket
1590609782,"I enjoyed everything about it. However, next year I will sure to wear lower heels."
1590594919,the food
1590608792,band could have played more current music for the younger crowd instead of oldies
1590609329,sore feet
1590598654,Hotel Stay at the Marriott
1590549954,The lines were long for drinks and some of the food stations.
1590599652,Valet Parking at the Marriott
1590600955,nothing
1590606184,long lines at the bars & many cars were locked
1590602688,"variety of food (better in prior years), need better enforcement of dress code - saw several attendees in fleece and denim clothing which cheapens entire tone of event"
1590610525,The food could have been hotter
1590610319,Food was not up to par with other years
1590610780,would be more enjoyable to have desserts and some form of music in the primary showroom; you could still go to other room for dancing.
1590613784,N/a
1590549269,I found nothing not enjoyable about the BTTG.
1590580785,Na
1590606135,"Lines for vallet park, coat check,  and food/drinks"
1590610111,the food. My wife and I have attended for the last 15 years and the last two that have been catered by Garces were terible if he is the caterer next year we will not attend
1590614683,Too cold!!! A warming station would have been nice.
1590605558,The Dub selection was closed
1590614048,lack of dub selection
1590614543,the beverage lines got long at times
1590614725,Needed navigation from staff to get back to coat check at Broad St. after the event ended - seemed confusing and we walked more than we needed to (on tired feet).
1590604445,nothing (weather coming)
1590599835,The union pickets outside the entrance to the Convention Center.
1590601979,lack of forks
1590610251,not being able to sit in all the cars
1590606887,Being told the valet parking passes included with the Benefactor ticket package were not valid when staying & parking at the Marriott.
1590602647,The lines for drinks
1590606556,run around end of evening for coat check
1590554608,need to move the entertainment from one side to the other year to year
1590598712,exhibits closed too early
1590549897,lines for food and beverage
1590602431,The cords underneath the rugs.
1590578524,It ended fast
1590547750,The Bartender by the jeeps
1590549640,The Lord of the Rings Band
1590577377,Nothing that I can think off
1590552586,No Complaints
1590598902,desert offerings.
1590560381,N/A
1590556199,Rude People
1590609360,nothing
1590599942,cold weather
1590604239,cold weather drafts
1590609030,I had no complaints.
1590600161,Food
1590605913,Some of the food stations that were supposed to be hot were cold (meat)
1590602951,the food was sub par and the uber web site was not available from 7:15 to at least 7:50 so we had to drive
1590602886,Popular displays too crowded to enjoy
1590559045,"I was unhappy that the ""DUB"" area wasn't open."
1590604189,the food and the uber web site was not in services before the event so we could not utilize the service from my sons house in fairmont park
1590613842,Protestors at entrance to event.
1590599371,"Folks had mentioned that there would be music and dancing. We never saw or heard any. we did not get past the Mazda area and this is after getting there at 8 and never were exposed to live music or anything like that. Nor did we get to walk the whole stretch of the room. Moreover at an event where women would wear heels I don't think it was the best idea to have the same type of foods-- pork and the sandwiches all on one side of the room with one prime rib station on that side. The tacos and pasta were all the way on the other side and I almost didn't get to have any tacos because by the time I got to that side of the room it was almost 10 and they were wrapping that up. If detailed info was offered telling people what type of food was available where, I would have known to head in that direction instead of wasting my time with food that wasn't really what I would have wanted. Lots of eggplant and the sandwiches -- it was annoying walking from station to station on that side of the room and not seeing different food. There should have been more directions discussing what specific food was available wHere. Luckily a staff person told me, but as I walked and walked and didn't come across it and asked someone else she had no idea. The staff needed to be more knowledgeable. Also having the dessert on a separate floor, also a waste of time and inefficient. that is out of range for women in heels and also hard if you're still walking around trying to see the cars."
1590607158,Nothing
1590603850,Everything was a great experience there was nothing I disliked the entire night
1590602084,Nothing
1590601235,Food set up
1590608255,N/A
1590572634,limited entrances and need to walk upstairs and back down for coat check
